"","sample","ind5_breadth","ind4_breadth","breadth.ind6","ICE"
"1","1274300",99.9929,72.8448,78.2185,"ind5"
"2","1274767",99.951,69.8309,78.1125,"ind5"
"3","1274791",99.9939,70.2851,78.2043,"ind5"
"4","1276667",5.4037,4.1227,4.2465,"No_ICE"
"5","1276693",5.4323,3.9905,4.1438,"No_ICE"
"6","1276704",4.9718,3.679,3.8343,"No_ICE"
"7","1277101",99.9939,70.0648,78.1988,"ind5"
"8","1277103",99.9939,70.0512,78.224,"ind5"
"9","1277300",12.4418,14.4043,10.3583,"No_ICE"
"10","1277550",10.7175,8.9724,8.0328,"No_ICE"
"11","1277850",6.1806,8.6765,4.6467,"No_ICE"
"12","1277967",99.9735,69.9893,78.1835,"ind5"
"13","1279444",1.3935,0,0,"No_ICE"
"14","1280950",99.9826,70.0334,78.2109,"ind5"
"15","1281033",1.7488,0.3598,0.375,"No_ICE"
"16","1281469",8.6593,7.0747,6.712,"No_ICE"
"17","1283200",9.3964,6.8219,7.262,"No_ICE"
"18","1283250",99.9826,69.7491,78.0501,"ind5"
"19","1283700",84.8344,59.2829,66.7264,"No_ICE"
"20","1283870",1.3874,0,0,"No_ICE"
"21","1284200",8.9125,13.5755,7.063,"No_ICE"
"22","1284579",99.9939,70.0669,78.2273,"ind5"
"23","1285155",99.9929,70.0554,78.2349,"ind5"
"24","1285850",9.5731,8.1478,8.2208,"No_ICE"
"25","1287100",97.5468,70.5925,76.4429,"ind5"
"26","1287250",99.9102,82.7099,78.037,"ind5"
"27","1287950",99.9939,70.2767,78.213,"ind5"
"28","1287972",1.513,0.8455,0.8812,"No_ICE"
"29","1288650",99.9939,70.0134,78.2076,"ind5"
"30","1289150",99.9918,70.6303,78.2076,"ind5"
"31","1289750",99.9949,83.1316,78.4153,"ind5"
"32","1289800",99.9939,70.8621,78.212,"ind5"
"33","1289950",99.5835,71.6321,77.5527,"ind5"
"34","1290250",99.8816,69.6589,78.0097,"ind5"
"35","1290550",99.9939,70.0187,78.2152,"ind5"
"36","1293000",99.9939,72.2626,78.3005,"ind5"
"37","1293031",4.1439,4.2559,2.9925,"No_ICE"
"38","1294750",99.9929,70.0302,78.2218,"ind5"
"39","1296600",9.912,19.1994,8.1989,"No_ICE"
"40","1296800",99.9939,70.0659,78.2426,"ind5"
"41","1297300",7.4434,9.6542,6.4201,"No_ICE"
"42","1299400",98.4237,81.5811,77.2269,"ind5"
"43","1299650",99.9939,70.5484,78.2338,"ind5"
"44","1302800",99.9939,70.433,78.2338,"ind5"
"45","1302850",99.9939,71.6468,78.2294,"ind5"
"46","1305250",98.7034,68.7472,76.9382,"ind5"
"47","1309600",99.9847,69.9715,78.1835,"ind5"
"48","1310800",99.9929,83.1001,78.201,"ind5"
"49","1311100",10.9717,8.4363,7.9956,"No_ICE"
"50","1313450",99.9929,69.9998,78.1988,"ind5"
"51","1314850",98.2093,68.0696,76.7239,"ind5"
"52","1315500",99.9929,70.0292,78.2109,"ind5"
"53","1318050",99.9939,73.9221,78.2065,"ind5"
"54","1318150",99.9949,70.0732,78.236,"ind5"
"55","1318700",99.9939,71.1558,78.5115,"ind5"
"56","1318750",99.9939,70.1456,78.2404,"ind5"
"57","1318950",99.9929,70.0218,78.1835,"ind5"
"58","1319200",99.9949,78.606,78.2415,"ind5"
"59","1319450",76.6243,66.6408,100,"ind6"
"60","1319650",99.9939,72.9392,78.2437,"ind5"
"61","1321850",99.9949,70.8065,79.8924,"ind5"
"62","1323500",99.9939,70.5705,78.4634,"ind5"
"63","1323750",99.9939,70.0627,78.2196,"ind5"
"64","1325700",99.9929,70.0365,78.2141,"ind5"
"65","1326000",99.9918,70.2862,78.1879,"ind5"
"66","1326050",99.9112,69.5718,78.0075,"ind5"
"67","1326450",77.9045,69.1511,100,"ind6"
"68","1326850",99.9939,70.3879,78.2305,"ind5"
"69","1326950",97.7448,81.1499,76.9174,"ind5"
"70","1331650",99.9939,70.0743,78.2371,"ind5"
"71","1335800",99.9939,70.5831,78.224,"ind5"
"72","1339300",55.9437,51.1844,43.4099,"No_ICE"
"73","1341100",99.9929,70.3197,78.1945,"ind5"
"74","1341950",99.9939,72.3811,78.2251,"ind5"
"75","1343350",99.9929,83.119,78.2185,"ind5"
"76","1346150",99.9939,70.0438,78.2043,"ind5"
"77","1348600",99.9949,70.0743,78.2251,"ind5"
"78","1350900",99.9796,70.0008,78.1835,"ind5"
"79","1356500",99.9949,70.2652,78.2294,"ind5"
"80","1362500",99.9939,70.0669,78.2207,"ind5"
"81","1362600",99.9929,70.0459,78.2109,"ind5"
"82","1363400",6.7012,9.5462,5.7247,"No_ICE"
"83","1365000",99.9826,69.9799,78.1824,"ind5"
"84","1365100",99.9939,70.0816,78.3978,"ind5"
"85","1365150",99.9939,71.7632,78.2393,"ind5"
"86","1366300",99.9939,70.0491,78.2174,"ind5"
"87","1366350",99.9918,74.6722,78.1813,"ind5"
"88","1368050",99.9929,70.0229,78.1945,"ind5"
"89","1368350",99.9816,69.8928,78.1343,"ind5"
"90","1373300",99.9929,70.0659,78.2207,"ind5"
"91","1376450",99.9949,70.069,78.2316,"ind5"
"92","1385750",56.2439,44.7695,42.8108,"No_ICE"
"93","1385800",99.9929,70.047,78.2087,"ind5"
"94","1444100",99.9939,70.8516,78.3869,"ind5"
"95","1446100",99.9929,70.0627,83.3244,"ind5"
"96","1446300",99.9796,69.9222,78.1267,"ind5"
"97","1446750",4.6012,4.5486,3.3981,"No_ICE"
"98","1449850",99.9929,70.0197,78.1813,"ind5"
"99","1450100",76.2914,66.945,100,"ind6"
"100","1450500",99.9939,72.5961,78.213,"ind5"
"101","1452300",99.9847,75.953,78.1868,"ind5"
"102","1458300",99.9918,69.941,78.6099,"ind5"
"103","D02182180",99.9959,70.0669,78.2305,"ind5"
"104","D02182183",99.953,69.8131,78.0972,"ind5"
"105","D02182190",4.4277,3.1261,3.2581,"No_ICE"
"106","D02182206",99.9939,70.0459,78.2163,"ind5"
"107","D02182216",99.9786,69.7218,78.025,"ind5"
"108","D02182219",99.9602,69.2267,77.8621,"ind5"
"109","D02182228",99.9479,69.9757,78.1474,"ind5"
"110","D02182238",99.9796,69.9977,78.166,"ind5"
"111","D02182249",4.9361,3.6401,3.6692,"No_ICE"
"112","D02182252",99.7877,69.3263,77.8818,"ind5"
"113","D02182267",99.9939,70.0606,78.2251,"ind5"
"114","D02182272",99.9918,70.2453,78.1868,"ind5"
"115","D02182286",2.4992,1.1382,1.1863,"No_ICE"
"116","D02182290",7.713,6.161,4.0814,"No_ICE"
"117","D02182318",6.3255,5.7214,5.283,"No_ICE"
"118","D02182354",99.9796,70.025,78.201,"ind5"
"119","D02182400",8.2387,15.276,5.9882,"No_ICE"
"120","D02182404",2.4543,0.4752,1.1535,"No_ICE"
"121","D02182446",7.2464,5.0815,5.9915,"No_ICE"
"122","D02182503",99.9939,70.7582,78.2273,"ind5"
"123","D04181537",0,0,0,"No_ICE"
"124","D04181547",99.9847,69.9201,78.1398,"ind5"
"125","D04181552",99.9796,69.9431,78.1802,"ind5"
"126","D04181604",75.6718,66.5653,100,"ind6"
"127","D04181638",99.9929,70.0428,78.2196,"ind5"
"128","D04181646",99.9775,69.8771,78.1562,"ind5"
"129","D04181657",99.9816,70.0365,78.1977,"ind5"
"130","D04181685",99.9806,70.0208,78.2021,"ind5"
