ARG-group,ReadCount,16s-NormalizedReadCount,Sample
OMPR,3194,0.158977385612,1289750
BACA,1912,0.0794804883405,1289750
CTX_M,169,0.00659066142318,1289750
SDEY,3,3.23931979261e-05,1289750
VGAC,140,0.0209049786967,1289750
COB_I_ALAMIN_ADENOLSYLTRANSFERASE,1302,0.0753859129736,1289750
OMPF,5701,0.184322864261,1289750
AAC_3__I,8,0.000589528156196,1289750
CHLORAMPHENICOL_EXPORTER,423,0.0101060639871,1289750
SAT_2,99,0.00645685795213,1289750
EPTA,3828,0.0794181723984,1289750
MSBA,4104,0.0800238889962,1289750
QNRB28,20,0.00106059972026,1289750
MULTIDRUG_ABC_TRANSPORTER,11,0.000215973334039,1289750
QNRB23,9,0.000451928110889,1289750
QNRB27,6,0.000318179916078,1289750
QNRB26,3,0.00015064270363,1289750
PORIN_OMPC,803,0.0248304600993,1289750
MDFA,2829,0.0783040773468,1289750
PBP_2X,11,0.000166443449433,1289750
VIBRIO_CHOLERAE_VARG,4576,0.133154759546,1289750
LMRD,1,1.71426238773e-05,1289750
RAMA,3,0.00027455847597,1289750
MEXK,1,1.10716263481e-05,1289750
MPHA,890,0.0335551200533,1289750
MPHG,1,3.86000578462e-05,1289750
MPHD,81,0.00312660468554,1289750
APH_6__I,5385,0.229741449554,1289750
MEXI,54,0.000595543749627,1289750
TOLC,9608,0.220273920406,1289750
QEPA,66,0.00146574466232,1289750
FOSA6,1,8.16432878185e-05,1289750
FOSA4,4,0.000328939623385,1289750
ESCHERICHIA_COLI_MDFA,46,0.00127323703003,1289750
MTRE,30,0.000729020364461,1289750
CLASS_C,2761,0.0803409727069,1289750
MEFA,15,0.000420311740992,1289750
MTRC,3,8.26341044183e-05,1289750
VIBRIO_CHOLERAE_OMPT,4310,0.142185108428,1289750
MDTO,4579,0.0760825790249,1289750
METALLO_BETA_LACTAMASE,54,0.00211315351161,1289750
ROSA,1506,0.0416846732005,1289750
ROSB,2437,0.0509320299181,1289750
QNRD1,3,0.000159089958039,1289750
QNRD2,25,0.00132574965032,1289750
VIBRIO_CHOLERAE_OMPU,3062,0.0989995808397,1289750
MSRE,123,0.00284288246809,1289750
MTRD,9,9.57223552587e-05,1289750
AADA25,5,0.000215749372752,1289750
ADC_23,1,2.96303316104e-05,1289750
QNRS8,37,0.00192610747363,1289750
CAMP_REGULATORY_PROTEIN,5187,0.3611303007,1289750
QNRB49,1,5.02142345433e-05,1289750
CMX,1,2.97858714089e-05,1289750
YOJI,3080,0.0638996789413,1289750
