Sample,hyper_Mutator
1274767,yes
1274791,no
1276667,no
1276693,no
1276704,no
1277103,no
1277300,no
1277850,no
1277967,yes
1281033,no
1281469,yes
1283200,yes
1283250,no
1283870,yes
1287250,no
1288650,no
1289750,no
1289800,no
1289950,no
1290250,no
1290550,no
1293000,no
1293031,yes
1296600,no
1297300,no
1302850,no
1309600,yes
1310800,no
1313450,yes
1315500,no
1318150,no
1318950,no
1319450,no
1323500,no
1323750,no
1325700,no
1326000,yes
1326050,no
1326450,yes
1326850,high_snv_noDnaRep
1341100,high_snv_noDnaRep
1341950,high_snv_noDnaRep
1348600,no
1350900,yes
1362600,no
1363400,high_snv_noDnaRep
1365000,yes
1366300,high_snv_noDnaRep
1366350,yes
1368050,high_snv_noDnaRep
1368350,yes
1385800,no
1446100,no
1446300,yes
1446750,yes
1449850,no
1450100,no
1450500,no
1452300,yes
1458300,yes
D02182183,no
D02182190,yes
D02182206,no
D02182216,no
D02182219,no
D02182228,yes
D02182238,yes
D02182249,no
D02182252,low_snv_DnaRep
D02182272,yes
D02182286,no
D02182354,yes
D02182404,yes
D02182446,yes
D04181537,yes
D04181547,yes
D04181552,yes
D04181604,yes
D04181646,yes
D04181657,no
D04181685,no
D05181667,no
D05181675,yes
D05181695,no
D05181723,no
D05181753,yes
D05181764,high_snv_noDnaRep
D05181765,yes
D05181782,high_snv_noDnaRep
D05181973,yes
D05181976,no
D10181702,yes
D10181707,yes
D10181725,yes
D10181726,no
D10181733,yes
D10181742,no
D10181752,no
D10181757,yes
D10181765,high_snv_noDnaRep
D10181767,no
D10181790,no
D10181796,yes
D10181801,no
D10181811,no
D10181847,no
D10181862,no
D10181868,no
D10182039,no
D10182063,no
D10182075,no
D10182082,low_snv_DnaRep
D10192216,yes
D15180677,no
D15180683,no
D15180780,high_snv_noDnaRep
D15180812,yes
D15180852,no
D17181269,no
D17181367,yes
D17181376,no
D17181382,high_snv_noDnaRep
D17181388,high_snv_noDnaRep
D17181390,yes
D17181396,yes
D17181397,no
D17181399,yes
D17181408,yes
D17181428,no
D17181435,no
D17181456,high_snv_noDnaRep
D17181461,no
D17181550,high_snv_noDnaRep
