"scaffold","length","coverage","breadth","nucl_diversity","coverage_median","coverage_std","coverage_SEM","breadth_minCov","breadth_expected","nucl_diversity_median","nucl_diversity_rarefied","nucl_diversity_rarefied_median","breadth_rarefied","conANI_reference","popANI_reference","SNS_count","SNV_count","divergent_site_count","population_divergent_sites","consensus_divergent_sites","Sample"
"1458300_7578",1413,6.46496815286624,0.94692144373673,0,6,3.12485141031784,0.0831595293427862,0.743807501769285,0.996682576590978,0,NA,NA,0,1,1,0,0,0,0,0,"D02182219"
"1458300_7712",71659,8.22577764132907,0.999665080450467,0.000303027024351476,8,3.44821349409033,0.0128813626083992,0.862194560348316,0.999299251604277,0,NA,NA,0,0.999983814579826,1,0,9,9,0,1,"D02182219"
"1458300_7810",1178,6.73599320882852,0.870967741935484,0.000528674984739519,7,3.69564671724686,0.107721456541411,0.744482173174873,0.997388634471311,0,NA,NA,0,1,1,0,0,0,0,0,"D02182219"
"1458300_7838",27523,7.04221923482179,0.991134687352396,0.000377993201963633,6,7.02773981856346,0.0423619242586507,0.662427787668495,0.998007329508524,0,0,0,0.00290665988446027,1,1,0,5,5,0,0,"D02182219"
"1458300_8019",11024,7.45727503628447,0.996915820029028,0.0002489050164447,7,3.55724842781401,0.0338816297584536,0.777031930333817,0.998618760310082,0,NA,NA,0,1,1,0,0,0,0,0,"D02182219"
"1458300_9264",355218,8.47923247132747,0.998758508859348,0.000232896631331414,8,3.47326912349072,0.00582762455460971,0.885965801282593,0.99943976951143,0,NA,NA,0,1,1,0,32,32,0,0,"D02182219"
"1458300_962",3467,8.36400346120565,0.974906259013556,0.000368811328835927,9,3.3711233921771,0.0572611900918405,0.867608883761177,0.99937976682148,0,NA,NA,0,1,1,0,0,0,0,0,"D02182219"
"1458300_9800",2210,10.1656108597285,0.964705882352941,0.00153356953100725,9,6.24606252170441,0.132894947270307,0.846153846153846,0.999873622157607,0,NA,NA,0,1,1,0,5,5,0,0,"D02182219"
"1458300_7110",1070,29.9523364485981,0.995327102803738,0.000497561406010871,33,17.4271398921734,0.53301234137089,0.950467289719626,0.999999999996736,0,0,0,0.134579439252336,0.999016715830875,1,0,2,2,0,1,"D02182219"
"1458300_7298",2368,7.49662162162162,0.988597972972973,0.000284200510513366,7,2.71957780756948,0.0558987838818479,0.895692567567568,0.998665924707453,0,NA,NA,0,1,1,0,0,0,0,0,"D02182219"
