query,COG_category,PFAMs
1458300_113_2,S,
1458300_113_3,,
1458300_113_4,O,OsmC
1458300_113_5,,
1458300_962_1,S,ParE_toxin
1458300_962_2,,
1458300_962_3,K,Acetyltransf_1_Acetyltransf_10_Acetyltransf_7
1458300_962_4,S,NTP_transf_6
1458300_1061_1,S,RRM_1
1458300_1061_2,M,Asp_Glu_race
1458300_1061_3,M,Inhibitor_I9_PKD_PPC_Peptidase_S8
1458300_1061_4,H,Plug_TonB_dep_Rec
1458300_1061_5,J,tRNA_U5meth_tr
1458300_1061_6,S,DUF1422
1458300_1061_7,K,TetR_N
1458300_1061_8,C,Pyr_redox_2_Pyr_redox_dim
1458300_1061_9,K,Sigma70_r1_2_Sigma70_r2_Sigma70_r4
1458300_1061_10,D,FtsX
1458300_1061_11,D,ABC_tran
1458300_1061_12,U,SRP54_SRP54_N
1458300_1061_13,J,Cons_hypoth95
1458300_1061_14,S,DUF1145
1458300_1061_15,S,YhhN
1458300_1061_16,,DUF4145
1458300_1061_17,S,DUF2500
1458300_1061_18,P,Ferritin
1458300_1061_19,T,EAL_HDOD
1458300_1061_20,E,LysE
1458300_1061_21,I,Hydrolase_4
1458300_1061_22,S,Hydrolase_3_S6PP
1458300_1061_23,S,
1458300_1061_24,S,DTW
1458300_1061_25,T,EAL_FIST_FIST_C_GGDEF
1458300_1061_26,S,HAD_2_Hydrolase
1458300_1061_27,D,Phage_int_SAM_1_Phage_integrase
1458300_1061_28,S,DUF484
1458300_1061_29,E,DAP_epimerase
1458300_1061_30,E,Orn_Arg_deC_N_Orn_DAP_Arg_deC
1458300_1061_31,P,Frataxin_Cyay
1458300_1061_32,F,Adenyl_cycl_N_Adenylate_cycl
1458300_1061_33,H,Porphobil_deam_Porphobil_deamC
1458300_1061_34,H,Creatinase_N_HEM4
1458300_1061_35,H,HemX
1458300_1061_36,H,HemY_N_TPR_16_TPR_19_TPR_2_TPR_4_TPR_7
1458300_1061_37,H,HemN_C_Radical_SAM
1458300_1061_38,S,DUF2489
1458300_1061_39,S,YihI
1458300_1061_40,S,Methyltransf_23
1458300_1061_41,C,Cytochrom_C
1458300_1061_42,D,MMR_HSR1
1458300_1061_43,L,5_3_exonuc_5_3_exonuc_N_DNA_pol_A_DNA_pol_A_exo1
1458300_1061_44,K,Acetyltransf_1_Acetyltransf_10_Acetyltransf_6
1458300_1061_45,H,ALAD
1458300_1061_46,L,TatD_DNase
1458300_1061_47,P,Rhodanese
1458300_1061_48,S,Rhomboid_Rhomboid_N
1458300_1061_49,T,MCPsignal_PAS_3_PAS_4
1458300_1061_50,N,FliL
1458300_1061_51,H,Chor_lyase
1458300_1061_52,H,UbiA
1458300_1061_53,I,Acyltransferase
1458300_1061_54,K,LexA_DNA_bind_Peptidase_S24
1458300_1061_55,H,LCM
1458300_1061_56,V,MatE_Polysacc_synt_C
1458300_1061_57,C,CCP_MauG_Cytochrom_C
1458300_1061_58,U,TatC
1458300_1061_59,U,MttA_Hcf106
1458300_1061_60,U,MttA_Hcf106
1458300_1061_61,H,ABC1
1458300_1061_62,S,SCP2
1458300_1061_63,H,Ubie_methyltran
1458300_1061_64,S,RmuC
1458300_1061_65,EG,EamA
1458300_1061_66,S,HI0933_like
1458300_1061_67,S,UspB
1458300_1061_68,P,Ferritin
1458300_1061_69,T,Usp
1458300_1061_70,EG,EamA
1458300_1061_71,,
1458300_1061_72,J,SAM_MT
1458300_1061_73,T,EAL_GGDEF_PAS_4_PAS_9
1458300_1061_74,K,AsnC_trans_reg_HTH_AsnCtype
1458300_1061_75,,
1458300_1061_76,EGP,MFS_1
1458300_1061_77,K,HTH_1_LysR_substrate
1458300_1061_78,E,Creatinase_N_Creatinase_N_2_Peptidase_M24_Peptidase_M24_C
